questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A legal-tech team embeds an entire **80-page** policy PDF as **one vector** in Chroma. Users ask narrow questions such as *""What is the refund window?""* but search keeps returning unrelated sections about shipping and warranties.

What is the **most likely** root cause?",,,,,,1,,"The whole document was embedded as one vector, so meanings get averaged across many topics",Chroma cannot store PDF file names,"The embedding model only works on Python code, not English text",Top-k search was disabled by using `n_results=1`,,,6a5491bea34e8ee0f00cff7c,0,markdown,"A is correct because one vector for a long multi-topic document blurs distinct ideas; chunking splits content so each row holds roughly one idea.

B is incorrect because file naming is handled via metadata, not the cause of vague whole-file embeddings. C is incorrect because sentence-transformer models encode English policy text. D is incorrect because `n_results=1` still returns the nearest vector—it does not explain topic mixing inside that single vector."
mcsc,markdown,"A support-bot engineer uses **fixed-size chunking with overlap**. A return rule is split across two windows: *""...within 30 days of""* ends chunk 4 and *""delivery. Items must...""* starts chunk 5.

Why is **overlap** added between neighbouring chunks?",,,,,,1,,To repeat a shared margin so a sentence split at a boundary can still appear whole in at least one chunk,To encrypt metadata before upsert,To double the embedding model size automatically,To replace the need for a vector database,,,6a5491bea34e8ee0f00cff7c,0,markdown,"A is correct because overlap copies text from the end of one chunk at the start of the next, reducing lost context at cuts.

B is incorrect because metadata is stored as labels, not encrypted by overlap. C is incorrect because overlap affects chunk count, not model dimensions. D is incorrect because overlap is a text-splitting idea; storage still needs a vector DB."
mcsc,markdown,"In the manual `policy_chunks` lab, each row stores `text`, `metadata` (for example `source_id`, `page`), and an embedding vector.

Which part is **actually encoded** into the embedding vector?",,,,,,1,,Only the chunk `text`,Only the `source_id` string,The `text` plus all metadata fields combined,Only the `page` number,,,6a5491bea34e8ee0f00cff7c,0,markdown,"A is correct because embeddings are built from chunk body text; metadata is stored for citation and filters, not vectorized in this lab.

B, C, and D are incorrect because metadata fields are attached separately in `metadatas=` and are not passed to `model.encode` for the chunk vector."
mcsc,markdown,"A corpus loader ingests a plain `.txt` policy file named `returns_policy.txt` (no PDF pages).

What **`page`** value should be stored on each record from that file?",,,,,,1,,0,1,The number of chunks created,Leave `page` empty / null,,,6a5491bea34e8ee0f00cff7c,0,markdown,"A is correct because plain-text files use page index `0` in this workflow; PDFs use per-page indices starting at 0.

B is incorrect because page 1 would wrongly imply a second PDF page for a single text file. C is incorrect because chunk count is tracked separately as `chunk_index`, not `page`. D is incorrect because traceability expects an explicit page field."
mcsc,markdown,"A developer chunks ShopEasy policies with `chunk_size = 500` and `overlap = 75` using a sliding character window (step = `chunk_size - overlap`).

After finishing chunk 0 starting at index 0, where does chunk 1 **start** in the parent text?",,,,,,1,,Character index 425,Character index 500,Character index 75,Character index 575,,,6a5491bea34e8ee0f00cff7c,0.5,markdown,"A is correct because the window advances by `500 - 75 = 425` characters while sharing 75 characters of overlap with the previous chunk.

B is incorrect because starting at 500 would mean **no** overlap. C is incorrect because 75 is only the overlap length, not the step. D is incorrect because 575 does not match the defined step rule."
mcsc,markdown,"A hospital support team wants a chatbot that can answer questions from a confidential MRI **operating manual**. A public LLM alone has never seen that private document.

Which approach is **most appropriate**?",,,,,,1,,"Use **RAG**: chunk and index the manual, retrieve relevant chunks for each question, then ask the LLM to answer using that context",Rely on **normal generation** only — the LLM will invent the correct error codes from general training,Embed the whole manual as one vector and never retrieve smaller segments,Store only file names in Chroma and skip embeddings entirely,,,6a5491bea34e8ee0f00cff7c,0.5,markdown,"A is correct because proprietary manuals are not reliable in public LLM weights; RAG retrieves your chunks first, then the model answers from that context.

B is incorrect because normal generation fails on confidential company IP. C is incorrect because one whole-file vector blurs many topics. D is incorrect because semantic search needs embeddings of chunk text, not names alone."
mcmc,markdown,"A team builds traceable policy chunks before upserting to Chroma.

Which statements about **metadata** are correct?

*(Select all that apply)*",,,,,,,,`source_id` usually holds the file name so answers can cite which document matched,`page` helps locate which PDF page a chunk came from; use `0` for plain `.txt` files,Metadata vectors are averaged with text vectors inside `model.encode` in this lab,`chunk_index` records the order of chunks created from the same parent page,Storing metadata is optional if the collection name already says `policy_chunks`,"1,2,4",6a5491bea34e8ee0f00cff7c,0.5,markdown,"A is correct because `source_id` answers “which file?” B is correct because page indexing supports PDF traceability and `0` for text files. D is correct because `chunk_index` disambiguates multiple chunks from one page.

C is incorrect because only chunk text is embedded. E is incorrect because collection naming does not replace per-chunk traceability fields."
mcmc,markdown,"After upserting chunked policies into `policy_chunks` with `embedding_function=None`, a learner wants to **verify storage** before running semantic queries.

Which checks are sensible?

*(Select all that apply)*",,,,,,,,`collection.count()` to confirm how many chunk rows were stored,"`collection.peek()` to sample ids, text, and metadata quickly",`collection.get(ids=[one_known_id])` to spot-check one exact row,Manually edit binary files inside `./chroma_store` to fix a typo in chunk text,"Keep `ids`, `documents`, `metadatas`, and `embeddings` lists index-aligned during `upsert`","1,2,3,5",6a5491bea34e8ee0f00cff7c,0.5,markdown,"A, B, and C are correct verification steps taught for count, sample peek, and exact id lookup. E is correct because misaligned parallel lists attach wrong vectors or metadata to a chunk.

D is incorrect because internal Chroma files should not be hand-edited; fix data in code and upsert again."
mcmc,markdown,"An engineer chunks a large annual report with `chunk_size = 512` and `chunk_overlap = 16`.

Which statements are correct?

*(Select all that apply)*",,,,,,,,The window should advance by **496** characters between chunk starts (`512 - 16`),`overlap` must stay **smaller than** `chunk_size` or the splitter may never move forward,Setting `overlap >= chunk_size` is invalid for a sliding window,"This pair follows the same fixed-size + overlap strategy used on shorter policy text, with numbers tuned for long documents",Semantic chunking is the **primary hands-on strategy** required in this module's core lab,"1,2,3,4",6a5491bea34e8ee0f00cff7c,1,markdown,"A is correct for the step size. B and C are correct safety rules for overlap versus chunk size. D is correct because large PDFs use the same Strategy 1 with tuned numbers (512/16), while short policies often use 500/75.

E is incorrect because semantic chunking was introduced only as an advanced look-ahead; fixed-size + overlap is the primary lab skill."
mcmc,markdown,"A ShopEasy retriever returns a **long wall of text** at Rank 1 for a short question about free shipping, and the text mixes return rules and shipping rules in one chunk.

Which tuning actions are **reasonable first steps**?

*(Select all that apply)*",,,,,,,,**Lower** `chunk_size` so each chunk holds fewer mixed ideas,**Raise** `overlap` if an important sentence was cut across a boundary,Switch the **query** embedding to a different model while keeping old document embeddings,**Raise** `overlap` until it equals `chunk_size` to guarantee context,Tune chunking and metadata quality before blaming the vector database tool alone,"1,2,5",6a5491bea34e8ee0f00cff7c,1,markdown,"A is correct because oversized chunks create blurry embeddings that mix topics. B is correct when boundary cuts lose half a rule. E is correct because retrieval quality often reflects preparation, not only the DB engine.

C is incorrect because mixing encoders breaks distance meaning. D is incorrect because `overlap >= chunk_size` stops proper window advancement."
