questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
"mcsc","markdown","A contact app needs to store one phone number for each contact name. Which Python data structure is most suitable for this?","","","","","","3","","List","String","Dictionary","Integer","","6a3e3018716053c3d382178c","0","markdown","A dictionary is most suitable because it stores data as key-value pairs, such as `""Maa"": ""9876543210""`. Option 1 is incorrect because a list mainly stores values by position, not by meaningful labels. Option 2 is incorrect because a string stores text characters. Option 4 is incorrect because an integer stores only a number, not labelled data."
"mcsc","markdown","What will be printed by the following code?

```python
student = {
    ""name"": ""Amit"",
    ""age"": 21,
    ""marks"": 88
}

print(student[""marks""])
```","","","","","","3","","`Amit`","`21`","`88`","`marks`","","6a3e3018716053c3d382178c","0","markdown","The expression `student[""marks""]` uses the key `""marks""` to access its mapped value, which is `88`. Option 1 is the value for the key `""name""`. Option 2 is the value for the key `""age""`. Option 4 is the key itself, not the value returned by dictionary access."
"mcsc","markdown","Which syntax correctly creates an empty dictionary in Python?","","","","","","2","","`student = []`","`student = {}`","`student = ()`","`student = """"`","","6a3e3018716053c3d382178c","0","markdown","`{}` creates an empty dictionary. Option 1 creates an empty list. Option 3 creates an empty tuple. Option 4 creates an empty string."
"mcsc","markdown","What will be printed by the following code?

```python
prices = {
    ""banana"": 20,
    ""apple"": 40,
    ""mango"": 50
}

print(prices.get(""watermelon""))
```","","","","","","2","","`0`","`None`","`KeyError`","`watermelon`","","6a3e3018716053c3d382178c","0","markdown","`get(""watermelon"")` returns `None` because the key `""watermelon""` does not exist and no default value is provided. Option 1 would be correct only if the code used `get(""watermelon"", 0)`. Option 3 is incorrect because `get()` avoids a `KeyError`. Option 4 is incorrect because `get()` returns the mapped value, not the key."
"mcsc","markdown","A grocery billing program stores item prices in a dictionary:

```python
prices = {
    ""mango"": 20,
    ""apple"": 30,
    ""banana"": 10
}
```

Which expression returns the values in sorted order?","","","","","","2","","`sorted(prices)`","`sorted(prices.values())`","`prices.keys()`","`prices.items()`","","6a3e3018716053c3d382178c","0.5","markdown","`sorted(prices.values())` returns the dictionary values in sorted order: `[10, 20, 30]`. Option 1 sorts the keys, not the values. Option 3 returns the keys without sorting them. Option 4 returns key-value pairs, not sorted values."
"mcsc","markdown","What will be printed by the following code?

```python
student = {
    ""name"": ""Yash"",
    ""age"": 29,
    ""name"": ""Shubham""
}

print(student)
```","","","","","","3","","`{'name': 'Yash', 'age': 29, 'name': 'Shubham'}`","`{'name': 'Yash', 'age': 29}`","`{'name': 'Shubham', 'age': 29}`","`KeyError`","","6a3e3018716053c3d382178c","0.5","markdown","Dictionary keys must be unique. When the same key appears again, Python keeps the latest value for that key. So `""name"": ""Shubham""` overwrites `""name"": ""Yash""`. Option 1 is incorrect because Python does not keep duplicate keys in the final dictionary. Option 2 keeps the old value, which is not how Python handles duplicate keys. Option 4 is incorrect because duplicate keys do not raise a `KeyError`."
"mcmc","markdown","A menu dictionary is created as follows:

```python
menu = {
    ""Dosa"": 60,
    ""Idli"": 40,
    ""Vada"": 35
}
```

Which statements are correct?","","","","","","","","`menu.keys()` returns all dish names.","`menu.values()` returns all prices.","`menu.items()` returns key-value pairs.","`menu.get(""Tea"", 0)` raises a `KeyError`.","1, 2, 3","6a3e3018716053c3d382178c","0.5","markdown","Option 1 is correct because `keys()` returns all keys, which are dish names. Option 2 is correct because `values()` returns all values, which are prices. Option 3 is correct because `items()` returns key-value pairs. Option 4 is incorrect because `get(""Tea"", 0)` returns `0` when `""Tea""` is missing; it does not raise a `KeyError`."
"mcmc","markdown","A dictionary is used to count characters in a word:

```python
counts = {}
char = ""a""
counts[char] = counts.get(char, 0) + 1
```

Which statements are correct?","","","","","","","","`counts.get(char, 0)` returns `0` if `char` is not already a key.","After the code runs once, `counts` becomes `{""a"": 1}`.","The key stores the character and the value stores the count.","The code cannot work because dictionary values cannot be numbers.","1, 2, 3","6a3e3018716053c3d382178c","0.5","markdown","Option 1 is correct because `get(char, 0)` uses `0` as the default value for a missing key. Option 2 is correct because the old count `0` becomes `1` and is stored under the key `""a""`. Option 3 is correct because the character is used as the key and its frequency is stored as the value. Option 4 is incorrect because dictionary values can be numbers, strings, lists, and other data types."
"mcmc","markdown","A delivery app stores delivery charges by city:

```python
charges = {
    ""Pune"": 40,
    ""Delhi"": 60,
    ""Mumbai"": 50
}
```

Which expressions are logically correct for analysing this dictionary?","","","","","","","","`len(charges)` returns `3`.","`sorted(charges)` returns city names in sorted order.","`max(charges.values())` returns `60`.","`sum(charges.keys())` returns `150`.","1, 2, 3","6a3e3018716053c3d382178c","1","markdown","Option 1 is correct because the dictionary has three key-value pairs. Option 2 is correct because `sorted(charges)` sorts dictionary keys, so it returns sorted city names. Option 3 is correct because the highest value among `40`, `60`, and `50` is `60`. Option 4 is incorrect because `charges.keys()` contains strings, and `sum()` cannot add city names."
"mcmc","markdown","Python dictionaries work like hashmaps for fast key-based lookup. Which statements are correct?","","","","","","","","A dictionary stores data as key-value pairs.","A dictionary lookup is generally fast because Python uses a hash value internally.","A list can be safely used as a dictionary key because lists are flexible.","Strings and integers can commonly be used as dictionary keys.","1, 2, 4","6a3e3018716053c3d382178c","1","markdown","Option 1 is correct because dictionaries store key-value pairs. Option 2 is correct because Python internally uses hashing to locate values efficiently. Option 3 is incorrect because lists are not hashable and cannot be used as dictionary keys. Option 4 is correct because strings and integers are common hashable key types."
