study_hours,exam_score
6.6258591994,90.9868776309
9.0749242087,106.5498920238
7.9811712122,98.6371815372
3.0268647099,63.0273069946
3.7014965642,76.8322013009
8.8619810086,109.7989849751
1.0473877411,47.5046473036
8.3910557654,99.4565659382
8.1736248588,97.4921955163
5.2114145756,88.7018393840
3.7272918414,70.9948126357
3.5058305089,66.6990321667
3.2938262889,62.6266061137
5.0056867529,70.8883301769
5.5409343306,81.1558381348
5.9814761687,90.1030194718
9.9595025509,112.3410456508
8.1339572729,99.6412240489
6.5996130650,88.1708918786
9.9006413291,114.9123761765
2.9377782841,52.4752718584
2.4419083047,56.9019221736
6.5128564385,83.7200501795
1.3954780717,55.7735957328
1.3211225090,45.2848267578
5.6339993824,85.7172758521
5.1958542279,88.1155314258
9.2545099587,107.5272471228
6.6630362904,86.3633146654
5.6270588194,83.3515347002
5.4718609185,81.0267827234
3.2276342982,58.2455591528
1.1061462299,51.0616132184
2.7316192959,72.5802410399
7.2282890879,92.6634961879
2.8054605159,59.8236966927
4.3258267954,66.1741088242
1.0336081785,49.6665920486
8.4704295682,96.0463644134
2.3901497296,51.2845368255
3.4083937411,73.2409566891
8.9229893858,101.4897020373
5.5881172888,88.3990250821
8.6243522173,113.8287896524
6.7574545025,92.2368675135
7.6759385263,100.8898873640
1.8234604456,65.3894590039
5.8702943924,82.8468375305
5.5699501267,78.2165911686
8.8420543902,98.1960215381
4.2513765311,72.1355664655
6.3836566049,96.7522898020
1.5332647811,57.2570581467
4.4886862100,68.0125991265
3.9073271163,64.1727010694
2.3517975616,54.6134543362
8.3470429344,104.3564305028
4.4150155440,71.8807480170
9.8087309597,114.8522058704
6.3099252371,89.1048755465
6.4455062845,86.5486556134
6.7419692271,90.3237255536
7.0880521943,94.3999457207
2.3570921725,57.1743730727
4.9628212047,80.2422842252
3.1560756565,74.8958220635
4.6224846829,78.2204688306
1.8703368454,54.3623896188
9.7104524594,102.7116817056
2.9350363362,64.3405150376
7.0458864635,81.1640780057
3.7037807333,59.3241509829
8.8666932353,111.6280347799
6.9599326450,96.4369051987
2.1845423423,55.4844335770
8.6056688879,94.2824500221
9.5045335403,109.0559104509
9.1352510938,104.4419532939
6.1274723307,89.7770869573
2.3091395838,70.8649300734
2.7321714547,61.7928688381
9.3511511627,105.4577669521
5.9709383890,77.7587287357
2.6249724860,59.3507279607
8.9565120478,106.1130811972
6.7741453470,83.8969751454
6.1272484703,86.6524949411
4.3865905252,65.9939478109
4.6985975394,81.9121251760
3.1554029141,70.0414254908
1.3425155802,56.5773744434
8.8859692730,103.8004667237
5.2095719513,82.1589130149
5.9287167929,83.6729589156
3.8994697880,66.9131510418
7.7619242787,96.1795581474
1.2267718372,41.4024971409
4.3496674531,63.9593237228
1.2731526495,54.3145336162
2.1060289198,54.6478044753
9.7043341186,114.0810549961
6.9198465703,97.9091116083
4.8539822175,66.0060716612
5.7136609712,78.1476768411
8.8552828771,107.4666306389
4.0978960030,73.0867887422
6.3126188406,85.0821946021
7.1531593601,99.8237705966
4.1987239932,72.7527995821
5.6718863785,75.2588550055
7.8872264495,93.5696157154
9.1826138259,113.7024300573
2.3595605027,60.4796925089
9.4007745308,99.1114415467
1.0466097923,55.9358472657
7.7767975324,101.9141436794
8.2947414729,110.2706189726
2.2308764639,54.4293681927
4.7701328582,74.0017591086
8.3373065020,95.7710562562
1.1284407072,63.6848827245
6.6561575308,88.8684561285
8.1372129229,110.5542960741
5.6170322454,78.2439871322
7.5326447850,97.4778830412
3.0378113443,52.7554701626
2.7866903319,58.6029745969
4.2681425550,77.9135986125
2.6146542481,52.0994439673
4.1145529520,77.2925124097
9.5331165527,113.5218010403
6.1599944585,79.9362528888
4.0606126068,67.4450109224
3.4437215783,63.0735177769
9.5683554164,111.4655495951
5.0003038868,74.2854153555
9.8235527579,108.7129182796
5.6397040220,80.4702539496
5.6904951612,76.5173752776
9.0688647134,100.2793259150
7.6849067639,97.3477418345
6.2258757747,91.9913136634
4.8398455345,67.1226112782
8.9036907348,106.7987294195
4.7048153492,71.3863779499
9.3048361855,103.9233987686
1.6184381691,57.2589121845
4.8699717571,73.4157700438
5.6756333789,91.5570604401
9.5584437602,107.0092920169
3.2589932200,66.7614611116
8.2543523254,100.5439444008
7.0882408000,88.6376751451
7.4537731385,99.4293487944
6.6665996456,89.0696019033
9.7440463762,116.6996113054
3.9941331329,69.6722494535
4.5844800371,67.8687027465
2.8262057699,60.5841278153
1.4563364975,51.2342547480
2.9161737548,67.6220808841
9.2391795741,103.8562327619
8.5615193544,103.9754160386
2.0116516734,44.7561151694
6.4340112279,92.1640425709
5.3127684540,73.3568655572
6.3521638344,76.8030716315
6.9334750595,91.6457619405
3.7599354180,74.8336253870
9.6521576026,103.2445003304
5.1925603156,72.4159888543
6.6529076938,85.4371583571
6.7170356551,83.6007875352
2.6550045686,62.1891015944
1.5567887634,46.8317110553
4.7036514115,70.9482971674
7.8762707959,102.5718633617
8.3369960946,97.9943829239
7.5699032410,99.3709548943
2.0188445727,49.3130232642
9.2201937538,101.8786220681
8.2183292020,90.6247732797
8.8992222998,117.9113839703
5.7097373768,80.9014761330
9.2407189159,110.7689920770
1.4198701416,50.4627290080
1.2725995054,50.5042668324
1.1819401602,49.1626700778
3.2749181016,76.0111879970
3.2371279589,58.0449001459
2.6875300092,50.8117024324
6.1035023655,79.7045097301
1.3508725693,42.1232902112
6.3134908105,91.8329533937
2.4941003774,63.6280220879
7.1008633771,87.4885820574
1.1896781900,40.5799717662
3.7951317735,66.3347083822
9.4450715818,119.1847801306
5.8455674189,66.9243391349
8.3042866247,105.4419102995
6.9222347345,85.4622291441
6.4967570705,94.9678809082
2.7212741208,53.9420122605
6.1695527343,84.5591505441
1.3571777661,41.1411586421
8.2149796458,95.7488002407
9.6406382532,120.6198218775
8.6860816421,110.0690844309
1.4563868137,48.5128921898
4.0479407504,65.1385214069
3.8620287808,57.6023730366
2.0144529255,52.7464566699
6.6395063740,89.6108782891
8.1771235783,100.8241006902
3.8234932480,68.1134477923
8.7652831143,99.0087655937
8.1741422156,100.9084233049
2.1622414733,55.9847707723
7.9017324106,107.0063653066
8.9435864791,118.2772993195
2.7755431285,59.9946393021
6.1627706155,81.6229439091
6.7487496942,90.2257299279
6.4840083174,84.9843347292
1.8662110987,49.5419803454
6.9507231491,91.7785227070
6.6875925221,83.8971173290
8.4149694010,106.7489110146
8.2316142922,101.1136138962
3.9445138714,71.0839038766
7.4984259963,95.1405547567
8.8054604882,101.6774269776
9.0365298237,102.0862163194
2.4536109425,56.9784260430
1.2403211508,46.0098466063
6.8572669908,92.8329104303
2.9320864547,61.9640581910
6.0733875184,77.3765659005
9.5032407683,111.6770335585
4.4138766183,65.0469121342
3.2749709535,60.8634163978
5.1085904497,76.5483067171
6.9151952194,79.4123244783
1.9098907107,54.8732250173
4.4252628715,74.0953716346
2.2034906995,55.5780350861
6.9620159945,89.6692163241
8.4749727904,101.3206739671
4.3916840327,67.0783934334
4.3455155750,70.9731645939
5.8556949305,80.6020411579
2.9355200167,62.5665124817
3.2266863246,56.9753308969
3.9686705495,71.1785685756
5.1168312832,79.2355479852
1.7337831427,52.1539965774
7.7745892273,95.6741902663
6.2114911699,89.9002231288
3.6972448560,57.7417261793
1.6979191512,55.4971136626
7.8686285626,100.4729390167
2.1797108946,58.0480894649
2.1988597811,58.7913239132
2.1761582123,52.3993201524
1.7313608000,51.4284456505
9.1575312886,112.5038346518
3.4231986971,68.2578256925
3.7576952129,69.4229906891
8.4951487900,94.6276944544
6.5793111374,92.5721562198
2.6842904789,67.1490045435
4.9133207114,82.9079342937
8.9553021825,108.5680346614
4.3783661532,63.4916745272
7.3979339788,101.1397737261
1.8712693795,53.1509925261
7.5459229906,81.3993045414
7.9882617166,102.1752072930
8.4319010353,94.2862270664
7.0678089139,85.2299233732
4.3365951534,68.7147102965
1.5779080015,59.4698570785
5.6689861065,80.2923236740
7.8171391574,100.2544932072
2.7175438314,70.8693865181
3.3961350395,75.0351913723
5.8250803814,83.0679823656
7.7349840661,96.5632543632
9.0692805768,100.4543805217
2.1316736578,51.8208039885
2.6584319158,62.4903894542
8.1958327425,103.8431301396
6.8006946072,91.6666389411
7.4887551263,102.1344733926
9.9709404853,110.1478455614
9.4526196282,110.5581880905
8.5872256016,108.7916499428
7.9940422815,103.4601925485
4.5551729369,80.5894716808
