Module,Session No,Week,Session ID,Title,Objective,Topics to be Covered (Core - 2hr),Core Learning Objectives,To be taken by,English IM Tentative Session Date,Day,,Hindi IM Tentative Session Date,Day,"Extra Hands-on session - may be taken on Monday
(Optional)"
"Module 1: Programming, DSA & AI-Powered Foundations",1,1,1.1,Introduction to Programming & Python Basics,"Write and execute first Python programs using an online compiler with variables, operators, and basic input/output.","• Online Compiler Setup – writing and executing Python programs using an online compiler (One Compiler)
• Core Fundamentals – variables and data types
• Operators – arithmetic, comparison, logical, and assignment operators, expressions
• Input/Output – using input() and print() for user interaction","• Execute Python programs in an online compiler
• Declare variables and work with core data types
• Apply arithmetic, comparison, logical, and assignment operators
• Handle basic user input and output using input() and print()",Industry Mentor,11/06/2026,Thursday,,15/07/2026,,
"Module 1: Programming, DSA & AI-Powered Foundations",2,1,1.2,Operators & Conditional Statements,Control program flow using if/elif/else and boolean logic to solve conditional programming problems.,"• Conditionals – using if, elif, and else statements
• Boolean Logic – applying boolean logic and comparison operators in conditions
• Logical Thinking – thinking step-by-step and building structured problem-solving habits
• Practice – solving beginner-level conditional programming problems","• Implement if, elif, and else branches
• Evaluate conditions using boolean and comparison operators
• Break problems into logical, testable steps
• Solve introductory conditional programming exercises",Industry Mentor,13/06/2026,Saturday,,,,
"Module 1: Programming, DSA & AI-Powered Foundations",3,2,2.1,Loops & Iterations in Python,"Automate repetitive tasks using for loops, while loops, and loop control with break and continue.","• Loops – using for loops and while loops
• Loop Control – break and continue
• Automation – automating repetitive sequences with loops
• Problem Solving – iterative problem solving, breaking problems into testable parts","• Write for loops and while loops
• Control loop execution using break and continue
• Choose the appropriate loop type for a given problem
• Apply iterative thinking to decompose and solve problems",Industry Mentor,18/06/2026,Thursday,,21/07/2026,,
"Module 1: Programming, DSA & AI-Powered Foundations",4,2,2.2,DSA: Lists & Strings – Built-in Functions,"Work with Python lists and strings using indexing, slicing, and essential built-in functions.","• Lists – defining lists, essential list methods (append, pop, sort, len)
• List Access – positive indexing, negative indexing, and slicing
• Strings – indexing, slicing, concatenation, and f-string formatting
• Built-in Functions – len(), sorted(), min(), max(), sum() for lists and strings","• Create and manipulate lists using essential methods
• Access elements via indexing and slicing on lists and strings
• Format and concatenate strings using f-strings
• Apply built-in functions to process list and string data",Industry Mentor,20/06/2026,Saturday,,,,
"Module 1: Programming, DSA & AI-Powered Foundations",5,3,3.1,DSA: Dictionaries & HashMaps – Built-in Functions,Store and retrieve data using dictionaries and hashmaps with essential built-in methods.,"• Dictionaries – defining dictionaries, accessing and modifying key-value pairs
• Dictionary Methods – get(), keys(), values(), items()
• HashMaps – understanding dictionary as hashmap, keys and hashable types
• Built-in Functions – len(), sorted() on dictionary keys/values","• Create and use dictionaries with key-value pairs
• Apply get(), keys(), values(), and items() methods
• Explain dictionary/hashmap intuition for fast lookups
• Use built-in functions to work with dictionary data",Industry Mentor,25/06/2026,Thursday,,28/07/2026,,
"Module 1: Programming, DSA & AI-Powered Foundations",6,3,3.2,"Nested Logic, Loops & Intro to Complexity Analysis",Apply nested conditionals and loops while introducing Big-O complexity analysis basics.,"• Nested Conditionals – multi-level if/elif/else decision logic
• Nested Loops – iterating with loops inside loops
• Complexity Basics – understanding why efficiency matters, best/worst case intuition
• Big-O Introduction – O(1), O(n), O(n²) with simple examples","• Write nested conditional logic for multi-step decisions
• Implement nested loops to process 2D data and combinations
• Explain best, average, and worst case intuitively
• Identify O(1), O(n), and O(n²) patterns in simple code",Industry Mentor,27/06/2026,Saturday,,,,
"Module 1: Programming, DSA & AI-Powered Foundations",7,4,4.1,Python Functions & Modular Programming,Write reusable Python functions using parameters and return values to organize programs into modular components.,Functions; Parameters and Return Values; Function Calls; Modular Programming,"• Define and call functions using def
• Pass arguments through parameters and return results using return
• Connect multiple functions by passing one function’s output as another function’s input
• Organize repetitive code into reusable and modular functions",Industry Mentor,02/07/2026,Thursday,,04/08/2026,,
"Module 1: Programming, DSA & AI-Powered Foundations",8,4,4.2,Sorting Algorithms – Bubble Sort & Selection Sort,Understand and implement bubble sort and selection sort with O(n²) complexity analysis.,"• Bubble Sort – intuition, step-by-step tracing, and Python implementation
• Selection Sort – intuition, step-by-step tracing, and Python implementation
• Tracing – manually tracing sort execution on sample inputs
• Complexity Analysis – O(n²) time complexity and space complexity of both algorithms","• Explain how bubble sort and selection sort work
• Implement bubble sort and selection sort in Python
• Trace algorithm execution on sample arrays
• Analyze O(n²) time complexity for elementary sorting algorithms",Industry Mentor,04/07/2026,Saturday,,,,
"Module 1: Programming, DSA & AI-Powered Foundations",9,5,5.1,"Hands-on Logic Building, Development Setup & DSA Problem Solving – I","Set up the Python development environment and solve beginner DSA problems using lists, strings, dictionaries, loops, and conditionals.",Development Environment Setup; Local Python Execution; Logic Building with Core Data Structures; Beginner DSA Problem Solving,"• Set up Python, VS Code, and Terminal for local development
• Write, save, and run Python programs locally
• Break a problem into inputs, outputs, conditions, and logical steps
• Solve basic list, string, and dictionary problems using loops and conditionals",Industry Mentor,09/07/2026,Thursday,,11/08/2026,,
"Module 1: Programming, DSA & AI-Powered Foundations",10,5,5.2,Hands-on Logic Building & DSA Problem Solving – II,"Solve intermediate DSA problems using nested logic, core data structures, Bubble Sort, and Selection Sort.",Problem Analysis; Nested Logic and Data Structures; Bubble and Selection Sort; Intermediate DSA Problem Solving,"• Analyse problem constraints and convert the solution into an algorithm
• Solve moderately complex problems involving lists, strings, dictionaries, and nested loops
• Implement Bubble Sort and Selection Sort step by step
• Apply sorting to solve problems such as duplicate handling, second largest element, and ordered comparisons",Industry Mentor,11/07/2026,Saturday,,,,
