questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A bank branch chatbot answers: *""What is the fee for early loan closure?""* using only a general LLM API — no company PDFs. Customers often get wrong fee amounts.

What is the **most likely** reason?",,,,,,1,,The LLM was never given this bank’s internal fee schedule as retrieved context,The LLM cannot process English text,Vector databases delete fee schedules every midnight,"Loan fees can only be answered by fine-tuning, never by retrieval",,6a55da0ee268c63cc3a278ce,0,markdown,"Company fees are private documents. Without retrieving those passages into the prompt, the model guesses from general training memory.

- B: LLMs handle English; the gap is missing private knowledge.
- C: Vector DBs do not auto-delete nightly as a rule of RAG.
- D: RAG retrieves policy text at query time; fine-tuning is not required for this use case."
mcsc,markdown,"A developer loads every PDF inside a folder with one LangChain call:

```python
loader = PyPDFDirectoryLoader(""Annual_Reports"")
documents = loader.load()
```

What does this loader return?",,,,,,1,,A list of LangChain **Document** objects (text + metadata such as source and page),A finished LLM answer string for each PDF,"Only file names, without reading page text",A SQL table of financial ratios,,6a55da0ee268c63cc3a278ce,0,markdown,"`PyPDFDirectoryLoader` reads each PDF in the folder into LangChain **Document** objects that carry `page_content` and metadata.

- B: Loading is ingest, not generation.
- C: The loader reads page text, not names alone.
- D: No SQL table is created by this call."
mcsc,markdown,"A long annual report is cut into overlapping windows using `RecursiveCharacterTextSplitter` with `chunk_size=512` and `chunk_overlap=16`.

Why is **chunk overlap** useful?",,,,,,1,,A shared margin helps text split at a boundary still appear complete in at least one neighbouring chunk,It encrypts embeddings before Chroma storage,It replaces the need for a document loader,It permanently increases the LLM’s maximum context window,,6a55da0ee268c63cc3a278ce,0,markdown,"Overlap copies characters from the end of one chunk into the start of the next so boundary sentences are less likely to be lost.

- B: Overlap is a splitting idea, not encryption.
- C: Loaders still read the source files.
- D: Overlap does not change the model’s token limit."
mcsc,markdown,"In a RAG notebook, retrieved chunks are placed under `##context` and the user question under `##question` inside one user message.

What is the main purpose of these **delimiters**?",,,,,,1,,Help the LLM reliably separate evidence text from the question,Compress the Chroma index to half its size,Replace the embedding model with keywords,Force the LLM temperature to 1.0,,6a55da0ee268c63cc3a278ce,0,markdown,"Labelled sections (`##context` / `##question`) make it clearer which part of the user message is evidence and which part is the ask.

- B: Delimiters do not compress the vector store.
- C: Embeddings still drive retrieval.
- D: Temperature is set on the LLM call, not by delimiter text."
mcsc,markdown,"An engineer embeds Tesla report chunks with **GTE-large**, then later queries Chroma using a **different** embedding model.

What is the **most likely** symptom?",,,,,,1,,Similarity search returns poor or meaningless matches,Chroma automatically re-embeds all chunks with the new model,The PDF loader stops reading metadata,Delimiters in the prompt become invalid UTF-8,,6a55da0ee268c63cc3a278ce,0.5,markdown,"Query vectors and stored vectors must live in the **same** embedding space. Mixing models breaks distance comparisons.

- B: Chroma does not silently re-embed when the query model changes.
- C: Loaders are unrelated to the query-time embedding mismatch.
- D: Delimiters are plain text labels; encoding is unrelated."
mcsc,markdown,"A RAG app sets `search_kwargs={""k"": 100}` on a large product-manual corpus. Users complain answers feel **slow**, even when many chunks look related.

What is the **best** explanation from a latency trade-off view?",,,,,,1,,"Higher **k** fetches more chunks and fills a larger prompt, so retrieval and generation take longer",Higher **k** always deletes the Chroma collection,Higher **k** turns off the system message,Higher **k** forces temperature to 1.0,,6a55da0ee268c63cc3a278ce,0.5,markdown,"Raising **k** increases retrieval work and prompt size. Accuracy and speed trade off; **k = 5** is a common demo default before tuning.

- B: **k** does not delete collections.
- C: System messages stay under your control.
- D: Temperature is independent of **k**."
mcmc,markdown,Which steps belong to the **offline prepare / ingest** path (done until documents change)?,,,,,,,,Load PDFs with `PyPDFDirectoryLoader`,Split text with `RecursiveCharacterTextSplitter`,Call `retriever.get_relevant_documents` on a live user question,Embed chunks and store them with `Chroma.from_documents`,"1, 2, 4",6a55da0ee268c63cc3a278ce,0.5,markdown,"Prepare = load → split → embed → store. Live retrieval runs on the **online answer** path when a user asks a question.

- C: `get_relevant_documents` is query-time retrieval, not offline prepare."
mcmc,markdown,"A grounded RAG system message includes:

- Answer **only** using the supplied context
- If the answer is missing, say **I don't know**
- Do not mention the context block in the final reply

Which behaviours match these rules?",,,,,,,,A revenue question answered using numbers that appear in retrieved chunks,An off-topic leave-policy question on a finance PDF gets an honest **I don't know**,The model invents a confident fee schedule when no chunk mentions fees,The model quotes random internet knowledge instead of the retrieved PDF text,"1, 2",6a55da0ee268c63cc3a278ce,0.5,markdown,"Grounding rules keep answers tied to retrieved text and force refusal when evidence is missing.

- C/D: Inventing or using outside knowledge violates “answer only from context.”"
mcmc,markdown,"A support engineer debugs a LangChain + Chroma RAG notebook that sometimes invents numbers and sometimes misses facts that exist in the PDF.

Which issues can **realistically** cause these symptoms?",,,,,,,,"Chunk size is extreme (entire PDF = one chunk, or tiny one-character chunks)",`temperature` is set to 0 on the Groq generation call,The app calls the LLM with the question only (no `##context` block),Top-k is set to 1 for a question that needs facts from two distant pages,"1, 3, 4",6a55da0ee268c63cc3a278ce,1,markdown,"Bad chunking hurts retrieval, skipping context causes ungrounded answers, and too-low **k** can omit needed pages. **`temperature=0`** is preferred for deterministic RAG — it is not a cause of inventing numbers in the usual case.

- B: Temperature 0 typically *reduces* random variation; it is recommended for grounded policy/finance answers."
mcmc,markdown,Which statements correctly describe the **imperative** RAG answer path used with a prepared Chroma retriever?,,,,,,,,`retriever.get_relevant_documents(query)` embeds the query and returns top-k Documents,Retrieved `page_content` strings are joined into one context block before generation,A Groq chat call uses a RAG **system** message plus a user message that contains context and question,`RunnablePassthrough()` must pipe the question through an LCEL `|` chain for any RAG answer to work,"1, 2, 3",6a55da0ee268c63cc3a278ce,1,markdown,"This answer path is retrieve → join context → fill delimiter template → call the LLM (for example Groq with `temperature=0`). LCEL pipe chains are a later composition style, not required for the imperative pattern.

- D: LCEL / `RunnablePassthrough` is not required for the imperative retrieve-augment-generate path."
